power_cost,energy_cost,energy,max_power_P1,max_power_P2,max_power_P3,max_power_P4,max_power_P5,max_power_P6,DateTime,penalization_power_cost,cost,current_cost,saving_cost
0.3165875,3426.5264564,55543,128,125,0,0,0,86,01-Jan-2013 00:00:00,-0,3426.5264564,7346.76062306667,3920.23416666667
0.28595,1413.5435244,47948,130,129,0,0,0,88,01-Feb-2013 23:00:00,0,1413.5435244,5062.34019106667,3648.79666666667
0.3165875,1800.4050782,40867,0,121,122,0,0,60,01-Mar-2013 23:00:00,0,1800.4050782,5155.04424486667,3354.63916666667
0.306375,2573.5322324,38538,0,0,0,117,109,81,01-Apr-2013 23:00:00,0,2573.5322324,3913.5072324,1339.975
0.3165875,2952.51312210612,44096,0,0,0,115,108,72,01-May-2013 23:00:00,-0,2952.51312210612,4303.77728877279,1351.26416666667
0.306375,5472.54191579968,36931,0,0,99,91,0,62,01-Jun-2013 23:00:00,-0,5472.54191579968,7239.71691579969,1767.175
0.3165875,6111.0405344,38130,105,89,0,0,0,70,01-Jul-2013 23:00:00,-0,6111.0405344,8850.61386773333,2739.57333333333
0.3165875,4814.59527203636,27115.5454545455,0,0,74,62,0,47,01-Aug-2013 23:00:00,-0,4814.59527203636,6106.72693870303,1292.13166666667
0.306375,8792.505148,40488,0,0,114,104,0,66,01-Sep-2013 23:00:00,-0,8792.505148,10826.055148,2033.55
0.3165875,11186.0467568,43842,0,0,0,118,109,70,01-Oct-2013 23:00:00,0,11186.0467568,12562.7567568,1376.71
0.306375,11225.4997004,44022,0,126,121,0,0,62,01-Nov-2013 23:00:00,-0,11225.4997004,14553.2497004,3327.75
0.3165875,11515.3169152,35723,128,120,0,0,0,60,01-Dec-2013 23:00:00,-0,11515.3169152,15305.0152485333,3789.69833333333
